PERIODO,id,TITULO_PROYECTO,PRODUCTORA_RAZON_SOCIAL,TIPO_PRODUCCION,FECHA_RODAJE,FECHA_RODAJE,DIRECCION,CALLE,ALTURA,BARRIO,COMUNA,CP,CPA,lon,lat
2015,50,Tarjeta Naramja Copa América,Nunchaku Cine Srl,Cine Publicitario,24/5/2015,24/05/2015,2 DE ABRIL DE 1982 6801,2 DE ABRIL DE 1982,6801,VILLA LUGANO,COMUNA 8,1439,C1439HWI,"-5,849,273,082","-3,467,927,194"
2011,51,Burn,Clasica Productora Sa,Cine Publicitario,14/7/2011,14/07/2011,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-584,920,994","-3,467,867,183"
2014,52,El Hombre Que Antitranspira,Turbo Trueno Sa,Cine Publicitario,14/5/2014,14/05/2014,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-584,920,994","-3,467,867,183"
2014,53,El Hombre Que Antitranspira 2,Turbo Trueno Sa,Cine Publicitario,4/6/2014,04/06/2014,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-584,920,994","-3,467,867,183"
2014,54,El Hombre Que Antitranspira 2,Turbo Trueno Sa,Cine Publicitario,7/6/2014,07/06/2014,2 DE ABRIL DE 1982 6901,2 DE ABRIL DE 1982,6901,VILLA LUGANO,COMUNA 8,1439,C1439HWK,"-584,920,994","-3,467,867,183"
2011,55,Societe Generale,Producciones Svb Sa,Cine Publicitario,9/2/2011,09/02/2011,2 DE ABRIL DE 1982 6950,2 DE ABRIL DE 1982,6950,VILLA LUGANO,COMUNA 8,1439,C1439HWL,"-5,849,432,253","-3,467,881,438"
2011,56,Lays,Nube Pictures S.R.L.,Cine Publicitario,22/2/2011,22/02/2011,20 DE FEBRERO 5606,20 DE FEBRERO,5606,SAAVEDRA,COMUNA 12,1431,C1431BBB,"-5,849,962,575","-3,456,425,029"
2014,57,Ford Manejo,Nunchaku Cine Srl,Cine Publicitario,10/10/2014,10/10/2014,20 DE FEBRERO 5701,20 DE FEBRERO,5701,SAAVEDRA,COMUNA 12,1431,C1431BBC,"-585,011,033","-3,456,493,801"
2013,58,Conveniencia,Oruga Films S.A.,Cine Publicitario,10/3/2013,10/03/2013,20 DE FEBRERO 5838,20 DE FEBRERO,5838,SAAVEDRA,COMUNA 12,1431,C1431BBF,"-5,850,214,529","-3,456,562,368"
2012,6033,23 Pares,Albertina Carri,Programa Televisivo,2/10/2012,02/10/2012,"LACROZE, FEDERICO AV. 4181","LACROZE, FEDERICO AV.",4181,CHACARITA,COMUNA 15,1427,C1427EDG,"-5,845,510,164","-3,458,713,272"
2013,60,Complice,Fundacion Del Cine,Estudiantes,27/10/2013,27/10/2013,20 DE FEBRERO 5969,20 DE FEBRERO,5969,SAAVEDRA,COMUNA 12,1431,C1431BBG,"-5,850,341,067","-3,456,602,706"
2012,6348,23 Pares,Albertina Carri,Programa Televisivo,6/8/2012,06/08/2012,LINCOLN AV. 4325,LINCOLN AV.,4325,VILLA DEVOTO,COMUNA 11,1419,C1419IFI,"-5,851,584,788","-3,459,890,514"
2015,62,Jugos Tang,Montecarlo Films Srl,Cine Publicitario,17/5/2015,17/05/2015,20 DE FEBRERO 5969,20 DE FEBRERO,5969,SAAVEDRA,COMUNA 12,1431,C1431BBG,"-5,850,341,067","-3,456,602,706"
2015,63,Fotos Honda Biz,Wtf Advertising Sa,Fotografía,20/11/2015,20/11/2015,20 DE FEBRERO 5969,20 DE FEBRERO,5969,SAAVEDRA,COMUNA 12,1431,C1431BBG,"-5,850,341,067","-3,456,602,706"
2011,64,Venimos De Muy Lejos,Trivialmedia Srl,Largometraje Con I.N.C.A.A.,27/10/2011,27/10/2011,20 DE SETIEMBRE 1,20 DE SETIEMBRE,1,LA BOCA,COMUNA 4,1155,C1155AAA,"-5,835,948,083","-3,462,638,446"
2011,65,Venimos De Muy Lejos,Trivialmedia Srl,Largometraje Con I.N.C.A.A.,3/11/2011,03/11/2011,20 DE SETIEMBRE 1,20 DE SETIEMBRE,1,LA BOCA,COMUNA 4,1155,C1155AAA,"-5,835,948,083","-3,462,638,446"
2011,66,Venimos De Muy Lejos,Trivialmedia Srl,Largometraje Con I.N.C.A.A.,25/10/2011,25/10/2011,20 DE SETIEMBRE 1,20 DE SETIEMBRE,1,LA BOCA,COMUNA 4,1155,C1155AAA,"-5,835,948,083","-3,462,638,446"
2011,67,Dell,Nube Pictures S.R.L.,Cine Publicitario,18/8/2011,18/08/2011,20 DE SETIEMBRE 100,20 DE SETIEMBRE,100,LA BOCA,COMUNA 4,1155,C1155AAB,"-5,836,067,337","-34,627,603"
2013,68,Celofan,Labhouse S.A.,Video Clip,23/9/2013,23/09/2013,20 DE SETIEMBRE 50,20 DE SETIEMBRE,50,LA BOCA,COMUNA 4,1155,C1155AAB,"-5,836,007,094","-3,462,698,743"
2012,69,En Mi Vida (todos Contentos),Luis Maria Leoncio Barone,Largometraje Con I.N.C.A.A.,3/2/2012,03/02/2012,24 DE NOVIEMBRE 1,24 DE NOVIEMBRE,1,BALVANERA,COMUNA 3,1170,C1170AAA,"-5,841,177,728","-3,461,062,881"
2012,70,En Mi Vida (todos Contentos),Luis Maria Leoncio Barone,Largometraje Con I.N.C.A.A.,11/2/2012,11/02/2012,24 DE NOVIEMBRE 1,24 DE NOVIEMBRE,1,BALVANERA,COMUNA 3,1170,C1170AAA,"-5,841,177,728","-3,461,062,881"
2012,6349,23 Pares,Albertina Carri,Programa Televisivo,8/8/2012,08/08/2012,LINCOLN AV. 4325,LINCOLN AV.,4325,VILLA DEVOTO,COMUNA 11,1419,C1419IFI,"-5,851,584,788","-3,459,890,514"
2013,72,La Pareja Del Galicia,Proteina Pura S.A.,Cine Publicitario,12/6/2013,12/06/2013,24 DE NOVIEMBRE 2270,24 DE NOVIEMBRE,2270,PARQUE PATRICIOS,COMUNA 4,1242,C1242AAV,"-5,840,903,875","-3,463,729,593"
2012,6685,23 Pares,Albertina Carri,Programa Televisivo,13/8/2012,13/08/2012,"MARTINEZ, ENRIQUE, GRAL. 2037","MARTINEZ, ENRIQUE, GRAL.",2037,BELGRANO,COMUNA 13,1430,C1430EWE,"-5,846,795,323","-3,456,982,881"
2011,74,J.O.D.A,Montecarlo Films Srl,Cine Publicitario,20/11/2011,20/11/2011,24 DE NOVIEMBRE 818,24 DE NOVIEMBRE,818,SAN CRISTÓBAL,COMUNA 3,1224,C1224AAH,"-5,841,073,444","-3,462,063,584"
2011,75,Ciudad De Cristos Y Hampones,Fundacion Del Cine,Estudiantes,11/6/2011,11/06/2011,24 DE NOVIEMBRE 850,24 DE NOVIEMBRE,850,SAN CRISTÓBAL,COMUNA 3,1224,C1224AAH,"-5,841,072,521","-3,462,100,504"
2014,76,Noche,Enerc,Estudiantes,6/6/2014,06/06/2014,25 DE MAYO 100,25 DE MAYO,100,SAN NICOLÁS,COMUNA 1,1002,C1002ABB,"-5,837,090,931","-3,460,665,258"
2013,77,Refugios,Fundacion Del Cine,Estudiantes,31/8/2013,31/08/2013,25 DE MAYO 101,25 DE MAYO,101,SAN NICOLÁS,COMUNA 1,1002,C1002ABC,"-5,837,084,605","-346,063,158"
2015,78,Sin Hijos,Patagonik Film Group S.A.,Largometraje Con I.N.C.A.A.,16/2/2015,16/02/2015,25 DE MAYO 145,25 DE MAYO,145,SAN NICOLÁS,COMUNA 1,1002,C1002ABC,"-583,708,678","-3,460,596,494"
2011,79,Juan Y Eva,Barakacine Srl,Largometraje Con I.N.C.A.A.,31/3/2011,31/03/2011,25 DE MAYO 201,25 DE MAYO,201,SAN NICOLÁS,COMUNA 1,1002,C1002ABE,"-5,837,090,737","-346,053,033"
2015,80,Peugeot 308 Y 408,Rebolucion S.A.,Cine Publicitario,7/11/2015,07/11/2015,25 DE MAYO 220,25 DE MAYO,220,SAN NICOLÁS,COMUNA 1,1002,C1002ABF,"-5,837,098,724","-3,460,521,037"
2011,81,El Liquidador,Fundacion Del Cine,Estudiantes,4/2/2011,04/02/2011,25 DE MAYO 300,25 DE MAYO,300,SAN NICOLÁS,COMUNA 1,1002,C1002ABF,"-5,837,104,872","-3,460,433,701"
2012,82,Personal,Rebolucion S.A.,Cine Publicitario,14/7/2012,14/07/2012,25 DE MAYO 301,25 DE MAYO,301,SAN NICOLÁS,COMUNA 1,1002,C1002ABG,"-5,837,099,045","-3,460,414,868"
2011,83,Head & Shoulders,Pioneras Producciones Sa,Cine Publicitario,25/2/2011,25/02/2011,25 DE MAYO 35,25 DE MAYO,35,SAN NICOLÁS,COMUNA 1,1002,C1002ABA,"-5,837,082,568","-3,460,697,975"
2012,84,La Bolsa / Prende Y Apaga /rifle,Ladoblea S.A.,Cine Publicitario,31/10/2012,31/10/2012,25 DE MAYO 351,25 DE MAYO,351,SAN NICOLÁS,COMUNA 1,1002,C1002ABG,"-5,837,102,564","-3,460,352,599"
2014,85,Eni. Logo Nuevo,Primo Audiovisual S.R.L.,Cine Publicitario,15/3/2014,15/03/2014,25 DE MAYO 351,25 DE MAYO,351,SAN NICOLÁS,COMUNA 1,1002,C1002ABG,"-5,837,102,564","-3,460,352,599"
2012,86,Séptimo,Capital Intelectual S.A.,Largometraje,7/11/2012,07/11/2012,25 DE MAYO 402,25 DE MAYO,402,SAN NICOLÁS,COMUNA 1,1002,C1002ABJ,"-5,837,115,192","-3,460,295,038"
2015,87,Chevy,Goodgate Sa,Cine Publicitario,10/4/2015,10/04/2015,25 DE MAYO 425,25 DE MAYO,425,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,108,711","-3,460,276,631"
2012,88,Anaflex,Enrique Heriberto Meziat,Cine Publicitario,19/5/2012,19/05/2012,25 DE MAYO 431,25 DE MAYO,431,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,108,821","-346,027,516"
2013,89,Atunear,Pank Srl,Cine Publicitario,19/1/2013,19/01/2013,25 DE MAYO 437,25 DE MAYO,437,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,108,821","-346,027,516"
2014,90,La Halle,Nube Pictures S.R.L.,Cine Publicitario,31/1/2014,31/01/2014,25 DE MAYO 447,25 DE MAYO,447,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,109,765","-3,460,262,499"
2013,91,Capsula,Oruga Films S.A.,Cine Publicitario,22/9/2013,22/09/2013,25 DE MAYO 450,25 DE MAYO,450,SAN NICOLÁS,COMUNA 1,1002,C1002ABJ,"-5,837,117,447","-3,460,255,826"
2011,92,Erdf,Lomo Cine S.R.L.,Cine Publicitario,28/10/2011,28/10/2011,25 DE MAYO 450,25 DE MAYO,450,SAN NICOLÁS,COMUNA 1,1002,C1002ABJ,"-5,837,117,447","-3,460,255,826"
2011,93,Special K2,Jacaranda Films S.A.,Cine Publicitario,11/3/2011,11/03/2011,25 DE MAYO 450,25 DE MAYO,450,SAN NICOLÁS,COMUNA 1,1002,C1002ABJ,"-5,837,117,447","-3,460,255,826"
2014,94,Powerade,Landia S.R.L.,Cine Publicitario,30/8/2014,30/08/2014,25 DE MAYO 455,25 DE MAYO,455,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,619","-3,460,251,061"
2011,95,Ciel,Landia S.R.L.,Cine Publicitario,19/8/2011,19/08/2011,25 DE MAYO 456,25 DE MAYO,456,SAN NICOLÁS,COMUNA 1,1002,C1002ABJ,"-583,711,806","-3,460,247,608"
2011,96,Morhp Disco,Fight By Flehner Sa,Cine Publicitario,16/5/2011,16/05/2011,25 DE MAYO 456,25 DE MAYO,456,SAN NICOLÁS,COMUNA 1,1002,C1002ABJ,"-583,711,806","-3,460,247,608"
2011,97,Yoplait,Rebolucion S.A.,Cine Publicitario,21/5/2011,21/05/2011,25 DE MAYO 456,25 DE MAYO,456,SAN NICOLÁS,COMUNA 1,1002,C1002ABJ,"-583,711,806","-3,460,247,608"
2012,98,Bhg Microondas,Primo Audiovisual S.R.L.,Cine Publicitario,3/11/2012,03/11/2012,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2013,99,Citi,Daniela Barbara Benitez,Fotografía,24/8/2013,24/08/2013,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2011,100,Institucional E!,Lefal Srl,Institucionales,16/9/2011,16/09/2011,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2013,101,Muerte En Buenos Aires,Utopica Group Srl,Largometraje Nacional,21/1/2013,21/01/2013,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2014,102,Rosseta Stone,23 S.A.,Cine Publicitario,1/8/2014,01/08/2014,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2015,103,Run Away,Jacaranda Films S.A.,Video Clip,20/2/2015,20/02/2015,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2012,104,Séptimo,Capital Intelectual S.A.,Largometraje,23/11/2012,23/11/2012,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2011,105,Testamento,Primo Audiovisual S.R.L.,Cine Publicitario,18/9/2011,18/09/2011,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
2011,106,The Cleaner,48m2 S.A.,Cine Publicitario,13/1/2011,13/01/2011,25 DE MAYO 457,25 DE MAYO,457,SAN NICOLÁS,COMUNA 1,1002,C1002ABI,"-5,837,110,903","-3,460,247,249"
